URL,Faculty Name,Tab Name,Row Data,Similar Subject
https://christuniversity.in/computer-science/faculty-details/NjgyOA==/NjI=,Dr  SRIDEVI R,Articles in Journals,slno title name journal date publication volume noissue nopage ,No relevant subject found
https://christuniversity.in/computer-science/faculty-details/NjgyOA==/NjI=,Dr  SRIDEVI R,Articles in Journals, design automatic follicle detection ovarian classification system ultrasound ovarian image multimedia tool application dec  ,No relevant subject found
https://christuniversity.in/computer-science/faculty-details/NjgyOA==/NjI=,Dr  SRIDEVI R,Articles in Journals,additional informationcategoryarticle research journalsole authored co authoredcoauthorauthor name ssridevi rsaranya rtitle articledesign automatic follicle detection ovarian classification system ultrasound ovarian imagesname journalmultimedia tool applicationsvolume noissue nopage nourlhttpslinkspringercomjournalindexing agencyscopusdate publicationdec category article research journal sole authored co authored coauthor author name sridevi rsaranya r title article design automatic follicle detection ovarian classification system ultrasound ovarian image name journal multimedia tool application volume  issue  page  url httpslinkspringercomjournal indexing agency scopus date publication dec,No relevant subject found
https://christuniversity.in/computer-science/faculty-details/NjgyOA==/NjI=,Dr  SRIDEVI R,Articles in Journals,category article research journal,No relevant subject found
https://christuniversity.in/computer-science/faculty-details/NjgyOA==/NjI=,Dr  SRIDEVI R,Articles in Journals,sole authored co authored coauthor,No relevant subject found
https://christuniversity.in/computer-science/faculty-details/NjgyOA==/NjI=,Dr  SRIDEVI R,Articles in Journals,author name sridevi rsaranya r,No relevant subject found
https://christuniversity.in/computer-science/faculty-details/NjgyOA==/NjI=,Dr  SRIDEVI R,Articles in Journals,title article design automatic follicle detection ovarian classification system ultrasound ovarian image,No relevant subject found
https://christuniversity.in/computer-science/faculty-details/NjgyOA==/NjI=,Dr  SRIDEVI R,Articles in Journals,name journal multimedia tool application,No relevant subject found
https://christuniversity.in/computer-science/faculty-details/NjgyOA==/NjI=,Dr  SRIDEVI R,Articles in Journals,volume ,No relevant subject found
https://christuniversity.in/computer-science/faculty-details/NjgyOA==/NjI=,Dr  SRIDEVI R,Articles in Journals,issue ,No relevant subject found
https://christuniversity.in/computer-science/faculty-details/NjgyOA==/NjI=,Dr  SRIDEVI R,Articles in Journals,page ,No relevant subject found
https://christuniversity.in/computer-science/faculty-details/NjgyOA==/NjI=,Dr  SRIDEVI R,Articles in Journals,url httpslinkspringercomjournal,No relevant subject found
https://christuniversity.in/computer-science/faculty-details/NjgyOA==/NjI=,Dr  SRIDEVI R,Articles in Journals,indexing agency scopus,No relevant subject found
https://christuniversity.in/computer-science/faculty-details/NjgyOA==/NjI=,Dr  SRIDEVI R,Articles in Journals,date publication dec,No relevant subject found
https://christuniversity.in/computer-science/faculty-details/NjgyOA==/NjI=,Dr  SRIDEVI R,Articles in Journals, machine learning deep learning analysis vehicle carbon footprint international journal environmental impact jun  ,Machine Learning
https://christuniversity.in/computer-science/faculty-details/NjgyOA==/NjI=,Dr  SRIDEVI R,Articles in Journals,additional informationcategoryarticle research journalsole authored co authoredcoauthorauthor name ssridevi rdhyan rhelen k joy electa alice jayarani avanusha dtitle articlemachine learning deep learning analysis vehicle carbon footprintname journalinternational journal environmental impactsvolume noissue nopage nourlhttpswwwiietaorgjournalsijeiindexing agencyscopusdate publicationjun category article research journal sole authored co authored coauthor author name sridevi rdhyan rhelen k joy electa alice jayarani avanusha title article machine learning deep learning analysis vehicle carbon footprint name journal international journal environmental impact volume  issue  page  url httpswwwiietaorgjournalsijei indexing agency scopus date publication jun,Machine Learning
https://christuniversity.in/computer-science/faculty-details/NjgyOA==/NjI=,Dr  SRIDEVI R,Articles in Journals,category article research journal,No relevant subject found
https://christuniversity.in/computer-science/faculty-details/NjgyOA==/NjI=,Dr  SRIDEVI R,Articles in Journals,sole authored co authored coauthor,No relevant subject found
https://christuniversity.in/computer-science/faculty-details/NjgyOA==/NjI=,Dr  SRIDEVI R,Articles in Journals,author name sridevi rdhyan rhelen k joy electa alice jayarani avanusha,No relevant subject found
https://christuniversity.in/computer-science/faculty-details/NjgyOA==/NjI=,Dr  SRIDEVI R,Articles in Journals,title article machine learning deep learning analysis vehicle carbon footprint,Machine Learning
https://christuniversity.in/computer-science/faculty-details/NjgyOA==/NjI=,Dr  SRIDEVI R,Articles in Journals,name journal international journal environmental impact,No relevant subject found
https://christuniversity.in/computer-science/faculty-details/NjgyOA==/NjI=,Dr  SRIDEVI R,Articles in Journals,volume ,No relevant subject found
https://christuniversity.in/computer-science/faculty-details/NjgyOA==/NjI=,Dr  SRIDEVI R,Articles in Journals,issue ,No relevant subject found
https://christuniversity.in/computer-science/faculty-details/NjgyOA==/NjI=,Dr  SRIDEVI R,Articles in Journals,page ,No relevant subject found
