URL,Faculty Name,Tab Name,Matched Expertise
https://christuniversity.in/Computer%20Science/faculty-details/NjgyOA==/NjI=,Dr  SRIDEVI R,Articles in Journals,"Machine Learning, Deep Learning"
https://christuniversity.in/Computer%20Science/faculty-details/NjgyOA==/NjI=,Dr  SRIDEVI R,Book Chapter,IOT
https://christuniversity.in/Computer%20Science/faculty-details/NjgyOA==/NjI=,Dr  SRIDEVI R,Participation in Seminars/Conferences/Symposium,"Java, Machine Learning, Deep Learning, Artificial Intelligence, IOT"
https://christuniversity.in/Computer%20Science/faculty-details/NjgyOA==/NjI=,Dr  SRIDEVI R,Research Project,Deep Learning
https://christuniversity.in/Computer%20Science/faculty-details/NjgyOA==/NjI=,Dr  SRIDEVI R,Workshop/FDP/Training programme,"Java, Machine Learning, Deep Learning, IOT"
https://christuniversity.in/Computer%20Science/faculty-details/NjgyOA==/NjI=,Dr  SRIDEVI R,Awards/Achievements/Others,No relevant subject found
https://christuniversity.in/computer-science/faculty-details/NjgzOQ==/NjI=,Dr  CYNTHIA T,Articles in Journals,No relevant subject found
https://christuniversity.in/computer-science/faculty-details/NjgzOQ==/NjI=,Dr  CYNTHIA T,Book Chapter,No relevant subject found
https://christuniversity.in/computer-science/faculty-details/NjgzOQ==/NjI=,Dr  CYNTHIA T,Participation in Seminars/Conferences/Symposium,"Java, IOT"
https://christuniversity.in/computer-science/faculty-details/NjgzOQ==/NjI=,Dr  CYNTHIA T,Research Project,Deep Learning
https://christuniversity.in/computer-science/faculty-details/NjgzOQ==/NjI=,Dr  CYNTHIA T,Workshop/FDP/Training programme,React
https://christuniversity.in/computer-science/faculty-details/NjgzOQ==/NjI=,Dr  CYNTHIA T,Awards/Achievements/Others,No relevant subject found
https://christuniversity.in/computer-science/faculty-details/NjgyNQ==/NjI=,Dr  NISHA VARGHESE,Articles in Journals,Machine Learning
https://christuniversity.in/computer-science/faculty-details/NjgyNQ==/NjI=,Dr  NISHA VARGHESE,Book Chapter,Machine Learning
https://christuniversity.in/computer-science/faculty-details/NjgyNQ==/NjI=,Dr  NISHA VARGHESE,Participation in Seminars/Conferences/Symposium,"Research Methodology , Java, Machine Learning, Artificial Intelligence"
https://christuniversity.in/computer-science/faculty-details/NjgyNQ==/NjI=,Dr  NISHA VARGHESE,Research Project,Deep Learning
https://christuniversity.in/computer-science/faculty-details/NjgyNQ==/NjI=,Dr  NISHA VARGHESE,Workshop/FDP/Training programme,"Python Programming , Machine Learning, Deep Learning, Artificial Intelligence, IOT"
https://christuniversity.in/computer-science/faculty-details/NjgyNQ==/NjI=,Dr  NISHA VARGHESE,Awards/Achievements/Others,No relevant subject found
