URL,Faculty Name,Tab Name,Row Data
https://christuniversity.in/computer-science/faculty-details/NjgyOA==/NjI=,dr sridevi r,article journal,"slno, title, name journal, date publication, volume noissue nopage"
https://christuniversity.in/computer-science/faculty-details/NjgyOA==/NjI=,dr sridevi r,article journal,"design automatic follicle detection ovarian classification system ultrasound ovarian image, multimedia tool application, dec"
https://christuniversity.in/computer-science/faculty-details/NjgyOA==/NjI=,dr sridevi r,article journal,"additional informationcategoryarticle research journalsole authored co authoredcoauthorauthor name ssridevi rsaranya rtitle articledesign automatic follicle detection ovarian classification system ultrasound ovarian imagesname journalmultimedia tool applicationsvolume noissue nopage nourlhttpslinkspringercomjournalindexing agencyscopusdate publicationdec, category, article research journal, sole authored co authored, coauthor, author name, sridevi rsaranya r, title article, design automatic follicle detection ovarian classification system ultrasound ovarian image, name journal, multimedia tool application, volume, issue, page, url, httpslinkspringercomjournal, indexing agency, scopus, date publication, dec"
https://christuniversity.in/computer-science/faculty-details/NjgyOA==/NjI=,dr sridevi r,article journal,"category, article research journal"
https://christuniversity.in/computer-science/faculty-details/NjgyOA==/NjI=,dr sridevi r,article journal,"sole authored co authored, coauthor"
https://christuniversity.in/computer-science/faculty-details/NjgyOA==/NjI=,dr sridevi r,article journal,"author name, sridevi rsaranya r"
https://christuniversity.in/computer-science/faculty-details/NjgyOA==/NjI=,dr sridevi r,article journal,"title article, design automatic follicle detection ovarian classification system ultrasound ovarian image"
https://christuniversity.in/computer-science/faculty-details/NjgyOA==/NjI=,dr sridevi r,article journal,"name journal, multimedia tool application"
https://christuniversity.in/computer-science/faculty-details/NjgyOA==/NjI=,dr sridevi r,article journal,volume
https://christuniversity.in/computer-science/faculty-details/NjgyOA==/NjI=,dr sridevi r,article journal,issue
https://christuniversity.in/computer-science/faculty-details/NjgyOA==/NjI=,dr sridevi r,article journal,page
https://christuniversity.in/computer-science/faculty-details/NjgyOA==/NjI=,dr sridevi r,article journal,"url, httpslinkspringercomjournal"
https://christuniversity.in/computer-science/faculty-details/NjgyOA==/NjI=,dr sridevi r,article journal,"indexing agency, scopus"
https://christuniversity.in/computer-science/faculty-details/NjgyOA==/NjI=,dr sridevi r,article journal,"date publication, dec"
https://christuniversity.in/computer-science/faculty-details/NjgyOA==/NjI=,dr sridevi r,article journal,"machine learning deep learning analysis vehicle carbon footprint, international journal environmental impact, jun"
https://christuniversity.in/computer-science/faculty-details/NjgyOA==/NjI=,dr sridevi r,article journal,"additional informationcategoryarticle research journalsole authored co authoredcoauthorauthor name ssridevi rdhyan rhelen k joy electa alice jayarani avanusha dtitle articlemachine learning deep learning analysis vehicle carbon footprintname journalinternational journal environmental impactsvolume noissue nopage nourlhttpswwwiietaorgjournalsijeiindexing agencyscopusdate publicationjun, category, article research journal, sole authored co authored, coauthor, author name, sridevi rdhyan rhelen k joy electa alice jayarani avanusha, title article, machine learning deep learning analysis vehicle carbon footprint, name journal, international journal environmental impact, volume, issue, page, url, httpswwwiietaorgjournalsijei, indexing agency, scopus, date publication, jun"
https://christuniversity.in/computer-science/faculty-details/NjgyOA==/NjI=,dr sridevi r,article journal,"category, article research journal"
https://christuniversity.in/computer-science/faculty-details/NjgyOA==/NjI=,dr sridevi r,article journal,"sole authored co authored, coauthor"
https://christuniversity.in/computer-science/faculty-details/NjgyOA==/NjI=,dr sridevi r,article journal,"author name, sridevi rdhyan rhelen k joy electa alice jayarani avanusha"
https://christuniversity.in/computer-science/faculty-details/NjgyOA==/NjI=,dr sridevi r,article journal,"title article, machine learning deep learning analysis vehicle carbon footprint"
https://christuniversity.in/computer-science/faculty-details/NjgyOA==/NjI=,dr sridevi r,article journal,"name journal, international journal environmental impact"
https://christuniversity.in/computer-science/faculty-details/NjgyOA==/NjI=,dr sridevi r,article journal,volume
https://christuniversity.in/computer-science/faculty-details/NjgyOA==/NjI=,dr sridevi r,article journal,issue
https://christuniversity.in/computer-science/faculty-details/NjgyOA==/NjI=,dr sridevi r,article journal,page
https://christuniversity.in/computer-science/faculty-details/NjgyOA==/NjI=,dr sridevi r,article journal,"url, httpswwwiietaorgjournalsijei"
https://christuniversity.in/computer-science/faculty-details/NjgyOA==/NjI=,dr sridevi r,article journal,"indexing agency, scopus"
https://christuniversity.in/computer-science/faculty-details/NjgyOA==/NjI=,dr sridevi r,article journal,"date publication, jun"
https://christuniversity.in/computer-science/faculty-details/NjgyOA==/NjI=,dr sridevi r,article journal,"efficient bird specie classification deep learning approach, indian journal natural science, jun"
https://christuniversity.in/computer-science/faculty-details/NjgyOA==/NjI=,dr sridevi r,article journal,"additional informationcategoryarticle research journalsole authored co authoredcoauthorauthor name shelen k joysridevi relacta alice jayaranifabiola hazel pohrmentitle articleefficient bird specie classification deep learning approachname journalindian journal natural sciencesvolume noissue nopage nourlhttpswwwwebofsciencecomwosauthorrecordlsmindexing agencyweb sciencedate publicationjun, category, article research journal, sole authored co authored, coauthor, author name, helen k joysridevi relacta alice jayaranifabiola hazel pohrmen, title article, efficient bird specie classification deep learning approach, name journal, indian journal natural science, volume, issue, page, url, httpswwwwebofsciencecomwosauthorrecordlsm, indexing agency, web science, date publication, jun"
https://christuniversity.in/computer-science/faculty-details/NjgyOA==/NjI=,dr sridevi r,article journal,"category, article research journal"
https://christuniversity.in/computer-science/faculty-details/NjgyOA==/NjI=,dr sridevi r,article journal,"sole authored co authored, coauthor"
https://christuniversity.in/computer-science/faculty-details/NjgyOA==/NjI=,dr sridevi r,article journal,"author name, helen k joysridevi relacta alice jayaranifabiola hazel pohrmen"
https://christuniversity.in/computer-science/faculty-details/NjgyOA==/NjI=,dr sridevi r,article journal,"title article, efficient bird specie classification deep learning approach"
https://christuniversity.in/computer-science/faculty-details/NjgyOA==/NjI=,dr sridevi r,article journal,"name journal, indian journal natural science"
https://christuniversity.in/computer-science/faculty-details/NjgyOA==/NjI=,dr sridevi r,article journal,volume
https://christuniversity.in/computer-science/faculty-details/NjgyOA==/NjI=,dr sridevi r,article journal,issue
https://christuniversity.in/computer-science/faculty-details/NjgyOA==/NjI=,dr sridevi r,article journal,page
https://christuniversity.in/computer-science/faculty-details/NjgyOA==/NjI=,dr sridevi r,article journal,"url, httpswwwwebofsciencecomwosauthorrecordlsm"
https://christuniversity.in/computer-science/faculty-details/NjgyOA==/NjI=,dr sridevi r,article journal,"indexing agency, web science"
https://christuniversity.in/computer-science/faculty-details/NjgyOA==/NjI=,dr sridevi r,article journal,"date publication, jun"
https://christuniversity.in/computer-science/faculty-details/NjgyOA==/NjI=,dr sridevi r,article journal,"multivalued neutrosophic convolutional lstm intrusion detection, international journal intelligent engineering system, jul"
https://christuniversity.in/computer-science/faculty-details/NjgyOA==/NjI=,dr sridevi r,article journal,"additional informationcategoryarticle research journalsole authored co authoredcoauthorauthor name ssridevi rveni chinnasamytitle articlemultivalued neutrosophic convolutional lstm intrusion detectionname journalinternational journal intelligent engineering systemsvolume noissue nopage nourlhttpsinassorgpublicationsindexing agencyscopusdate publicationjul, category, article research journal, sole authored co authored, coauthor, author name, sridevi rveni chinnasamy, title article, multivalued neutrosophic convolutional lstm intrusion detection, name journal, international journal intelligent engineering system, volume, issue, page, url, httpsinassorgpublications, indexing agency, scopus, date publication, jul"
https://christuniversity.in/computer-science/faculty-details/NjgyOA==/NjI=,dr sridevi r,article journal,"category, article research journal"
https://christuniversity.in/computer-science/faculty-details/NjgyOA==/NjI=,dr sridevi r,article journal,"sole authored co authored, coauthor"
https://christuniversity.in/computer-science/faculty-details/NjgyOA==/NjI=,dr sridevi r,article journal,"author name, sridevi rveni chinnasamy"
https://christuniversity.in/computer-science/faculty-details/NjgyOA==/NjI=,dr sridevi r,article journal,"title article, multivalued neutrosophic convolutional lstm intrusion detection"
https://christuniversity.in/computer-science/faculty-details/NjgyOA==/NjI=,dr sridevi r,article journal,"name journal, international journal intelligent engineering system"
https://christuniversity.in/computer-science/faculty-details/NjgyOA==/NjI=,dr sridevi r,article journal,volume
https://christuniversity.in/computer-science/faculty-details/NjgyOA==/NjI=,dr sridevi r,article journal,issue
https://christuniversity.in/computer-science/faculty-details/NjgyOA==/NjI=,dr sridevi r,article journal,page
https://christuniversity.in/computer-science/faculty-details/NjgyOA==/NjI=,dr sridevi r,article journal,"url, httpsinassorgpublications"
https://christuniversity.in/computer-science/faculty-details/NjgyOA==/NjI=,dr sridevi r,article journal,"indexing agency, scopus"
https://christuniversity.in/computer-science/faculty-details/NjgyOA==/NjI=,dr sridevi r,article journal,"date publication, jul"
https://christuniversity.in/computer-science/faculty-details/NjgyOA==/NjI=,dr sridevi r,article journal,"breast cancer classification using natureinspired algorithm, international journal recent technology engineering ijrte, sep"
https://christuniversity.in/computer-science/faculty-details/NjgyOA==/NjI=,dr sridevi r,article journal,"additional informationcategoryarticle research journalsole authored co authoredcoauthorauthor name ssridevi rdaphy louis loveniaezhilin jemima dnathaniel christopherselvi stitle articlebreast cancer classification using natureinspired algorithmname journalthe international journal recent technology engineering ijrtevolume noissue nopage nourlindexing agencyscopusdate publicationsep, category, article research journal, sole authored co authored, coauthor, author name, sridevi rdaphy louis loveniaezhilin jemima dnathaniel christopherselvi, title article, breast cancer classification using natureinspired algorithm, name journal, international journal recent technology engineering ijrte, volume, issue, page, url, indexing agency, scopus, date publication, sep"
https://christuniversity.in/computer-science/faculty-details/NjgyOA==/NjI=,dr sridevi r,article journal,"category, article research journal"
https://christuniversity.in/computer-science/faculty-details/NjgyOA==/NjI=,dr sridevi r,article journal,"sole authored co authored, coauthor"
https://christuniversity.in/computer-science/faculty-details/NjgyOA==/NjI=,dr sridevi r,article journal,"author name, sridevi rdaphy louis loveniaezhilin jemima dnathaniel christopherselvi"
https://christuniversity.in/computer-science/faculty-details/NjgyOA==/NjI=,dr sridevi r,article journal,"title article, breast cancer classification using natureinspired algorithm"
https://christuniversity.in/computer-science/faculty-details/NjgyOA==/NjI=,dr sridevi r,article journal,"name journal, international journal recent technology engineering ijrte"
https://christuniversity.in/computer-science/faculty-details/NjgyOA==/NjI=,dr sridevi r,article journal,volume
https://christuniversity.in/computer-science/faculty-details/NjgyOA==/NjI=,dr sridevi r,article journal,issue
https://christuniversity.in/computer-science/faculty-details/NjgyOA==/NjI=,dr sridevi r,article journal,page
https://christuniversity.in/computer-science/faculty-details/NjgyOA==/NjI=,dr sridevi r,article journal,url
https://christuniversity.in/computer-science/faculty-details/NjgyOA==/NjI=,dr sridevi r,article journal,"indexing agency, scopus"
